"","latitude","longitude"
"1",30.5928266595855,-82.111129126437
"2",30.7768574236721,-84.4636609115375
"3",30.783569765847,-84.2028288100489
"4",30.7897584535697,-83.9419125874305
"5",30.7954229135792,-83.6809190557275
"6",30.8005626208657,-83.4198550393929
"7",30.8051770988014,-83.1587273742022
"8",30.8092659192583,-82.8975429061646
"9",30.8128287027152,-82.6363084904292
"10",30.815865118352,-82.375030990187
"11",30.8183748841321,-82.1137172755707
"12",30.8218135823022,-81.5910087118251
"13",30.9947275102341,-84.7331327676233
"14",31.0020273721331,-84.4717834662257
"15",31.0087995479412,-84.2103423575402
"16",31.0150434088115,-83.9488163060006
"17",31.020758374582,-83.6872121897748
"18",31.0259439139211,-83.425536899666
"19",31.0305995444591,-83.163797338008
"20",31.0347248329095,-82.9020004175561
"21",31.0383193951766,-82.6401530603734
"22",31.0413828964521,-82.3782621967131
"23",31.0439150512984,-82.1163347638973
"24",31.0459156237202,-81.8543777051929
"25",31.047384427224,-81.5923979686848
"26",31.2119265558393,-85.0038267462187
"27",31.2198228755921,-84.7419621014551
"28",31.2271875206062,-84.4799978306731
"29",31.2340198053622,-84.2179408501748
"30",31.2403190934493,-83.9557980913629
"31",31.246084797725,-83.6935764996271
"32",31.2513163804615,-83.4312830332253
"33",31.2560133534812,-83.168924662159
"34",31.2601752782783,-82.9065083670434
"35",31.2638017661297,-82.6440411379734
"36",31.2668924781921,-82.3815299733855
"37",31.2694471255873,-82.1189818789157
"38",31.271465469475,-81.8564038662547
"39",31.2729473211128,-81.5938029520004
"40",31.2738925419036,-81.3311861565085
"41",31.4449080817534,-84.7508910640066
"42",31.4523378104466,-84.4883049073536
"43",31.4592304832663,-84.2256251234545
"44",31.4655854561497,-83.962858711794
"45",31.4714021348913,-83.7000126861028
"46",31.4766799752928,-83.4370940732183
"47",31.4814184833,-83.1741099119394
"48",31.485617215127,-82.9110672518754
"49",31.4892757773684,-82.6479731522914
"50",31.4923938270988,-82.3848346809491
"51",31.4949710719588,-82.1216589129432
"52",31.4970072702296,-81.8584529295361
"53",31.4985022308935,-81.5952238169882
"54",31.4994558136829,-81.3319786653879
"55",31.669983066047,-84.7599206406604
"56",31.6774781831324,-84.4967056138438
"57",31.684431526987,-84.2333960268702
"58",31.6908424458054,-83.9699989484402
"59",31.6967103382364,-83.7065214617653
"60",31.7020346535344,-83.4429706634078
"61",31.706814891699,-83.1793536621143
"62",31.7110506036018,-82.9156775776435
"63",31.7147413910997,-82.6519495395902
"64",31.7178869071367,-82.3881766862041
"65",31.7204868558311,-82.1243661632052
"66",31.7225409925512,-81.860525122596
"67",31.7240491239775,-81.5966607214711
"68",31.7250111081513,-81.3327801208237
"69",31.8950477658604,-84.7690518333081
"70",31.9026085802591,-84.5052008831019
"71",31.9096228820298,-84.2412544241612
"72",31.9160900115328,-83.9772195955566
"73",31.9220093601857,-83.7131035511412
"74",31.9273803706177,-83.4489134583689
"75",31.9322025368118,-83.1846564971058
"76",31.9364754042328,-82.9203398584367
"77",31.9401985699439,-82.6559707434669
"78",31.9433716827088,-82.391556362119
"79",31.9459944430816,-82.1271039319261
"80",31.9480666034829,-81.8626206768217
"81",31.9495879682636,-81.598113825927
"82",31.9505583937541,-81.3335906123355
"83",31.9509777883017,-81.0690582718957
"84",32.1201021186328,-84.7782856606569
"85",32.127728943534,-84.5137916637544
"86",32.1348044940682,-84.2492011935801
"87",32.1413281026673,-83.9845214607506
"88",32.1472991534311,-83.719759690943
"89",32.1527170822843,-83.4549231236908
"90",32.1575813771207,-83.1900190111733
"91",32.1618915779337,-82.9250546170003
"92",32.1656472769347,-82.6600372149904
"93",32.1688481186573,-82.3949740879458
"94",32.1714938000481,-82.129872526423
"95",32.1735840705448,-81.8647398274998
"96",32.1751187321404,-81.5995832935392
"97",32.1760976394339,-81.3344102309516
"98",32.3451460618473,-84.7876231585442
"99",32.3528392147701,-84.5224789203886
"100",32.3599763089383,-84.2572372281646
"101",32.3665566687599,-83.9919053652324
"102",32.3725796709288,-83.7264906302973
"103",32.3780447445837,-83.461000336183
"104",32.3829513714557,-83.1954418085982
"105",32.3872990860007,-82.9298223848982
"106",32.3910874755194,-82.6641494128409
"107",32.3943161802639,-82.3984302493377
"108",32.3969848935297,-82.1326722592015
"109",32.3990933617353,-81.8668828138898
"110",32.4006413844872,-81.6010692902462
"111",32.401628814632,-81.3352390692381
"112",32.5701795330241,-84.7970653802583
"113",32.5779393358796,-84.5312636338522
"114",32.5851382726338,-84.2653634360149
"115",32.5917756595733,-83.9993721440702
"116",32.5978508658956,-83.7332971309785
"117",32.6033633138713,-83.4671457840868
"118",32.6083124789932,-83.2009255038721
"119",32.6126978901123,-82.9346437026793
"120",32.6165191295587,-82.6683078034541
"121",32.6197758332506,-82.4019252384702
"122",32.6224676907878,-82.1355034480529
"123",32.6245944455327,-81.8690498792993
"124",32.6261558946763,-81.6025719847946
"125",32.7952024697125,-84.8066133968678
"126",32.803029248868,-84.5401468015606
"127",32.8102903313011,-84.2735807405787
"128",32.8169850250776,-84.0069226464528
"129",32.8231126918065,-83.7401799676484
"130",32.828672746806,-83.4733601672918
"131",32.8336646592544,-83.2064707218908
"132",32.8380879523283,-82.9395191200477
"133",32.8419422033265,-82.6725128611682
"134",32.8452270437798,-82.4054594541647
"135",32.8479421595469,-82.1383664161556
"136",32.8500872908963,-81.8712412711603
"137",32.8516622325737,-81.6040915487918
"138",33.0117509264592,-85.0832991687128
"139",33.0202148094828,-84.8162682975587
"140",33.0281088958269,-84.5491294378107
