,city_state,name,m_type,state_abrev,state_full,latitude,longitude,county
166,"East Point city, Georgia",East Point,city,GA,Georgia,33.6795531,-84.43937240000001,Fulton County
167,"Eatonton city, Georgia",Eatonton,city,GA,Georgia,33.3267997,-83.3884961,Putnam County
168,"Echols County consolidated government, Georgia",Echols County,county,GA,Georgia,30.7503289,-82.95015579999999,Georgia
169,"Edge Hill city, Georgia",Edge Hill,city,GA,Georgia,33.1541951,-82.6253837,Glascock County
170,"Edison city, Georgia",Edison,city,GA,Georgia,31.5582271,-84.7382526,Calhoun County
171,"Elberton city, Georgia",Elberton,city,GA,Georgia,34.1112226,-82.8670839,Elbert County
172,"Ellaville city, Georgia",Ellaville,city,GA,Georgia,32.2382139,-84.30907979999999,Schley County
173,"Ellenton town, Georgia",Ellenton,town,GA,Georgia,31.1760205,-83.587389,Colquitt County
174,"Ellijay city, Georgia",Ellijay,city,GA,Georgia,34.6948076,-84.4821498,Gilmer County
175,"Emerson city, Georgia",Emerson,city,GA,Georgia,34.1271745,-84.7542959,Bartow County
176,"Enigma town, Georgia",Enigma,town,GA,Georgia,31.4129695,-83.3290468,Berrien County
177,"Ephesus city, Georgia",Ephesus,city,GA,Georgia,33.4070586,-85.2543915,Heard County
178,"Eton city, Georgia",Eton,city,GA,Georgia,34.82508,-84.763272,Murray County
179,"Euharlee city, Georgia",Euharlee,city,GA,Georgia,34.1448193,-84.93299859999999,Bartow County
180,"Fairburn city, Georgia",Fairburn,city,GA,Georgia,33.5670562,-84.5810418,Fulton County
181,"Fairmount city, Georgia",Fairmount,city,GA,Georgia,34.4362013,-84.69993459999999,Gordon County
182,"Fargo city, Georgia",Fargo,city,GA,Georgia,30.6818841,-82.5665192,Clinch County
183,"Fayetteville city, Georgia",Fayetteville,city,GA,Georgia,33.4486296,-84.4550443,Fayette County
184,"Fitzgerald city, Georgia",Fitzgerald,city,GA,Georgia,31.7149082,-83.25265449999999,Ben Hill County
185,"Flemington city, Georgia",Flemington,city,GA,Georgia,31.8597149,-81.5637129,Liberty County
186,"Flovilla city, Georgia",Flovilla,city,GA,Georgia,33.253734,-83.89851709999999,Butts County
187,"Flowery Branch city, Georgia",Flowery Branch,city,GA,Georgia,34.1851017,-83.9251809,Hall County
188,"Folkston city, Georgia",Folkston,city,GA,Georgia,30.8305102,-82.0098375,Charlton County
189,"Forest Park city, Georgia",Forest Park,city,GA,Georgia,33.6220542,-84.36909179999999,Clayton County
190,"Forsyth city, Georgia",Forsyth,city,GA,Georgia,33.0342974,-83.938242,Monroe County
191,"Fort Gaines city, Georgia",Fort Gaines,city,GA,Georgia,31.6090569,-85.0471505,Clay County
192,"Fort Oglethorpe city, Georgia",Fort Ogelthorpe,city,GA,Georgia,34.9489645,-85.2569,Catoosa County
193,"Fort Valley city, Georgia",Fort Valley,city,GA,Georgia,32.5537585,-83.8874084,Peach County
194,"Franklin city, Georgia",Franklin,city,GA,Georgia,33.2776182,-85.0979973,Heard County
195,"Franklin Springs city, Georgia",Franklin Springs,city,GA,Georgia,34.28482839999999,-83.1443161,Franklin County
196,"Funston city, Georgia",Funston,city,GA,Georgia,31.1999071,-83.8735088,Colquitt County
