city_state,name,m_type,state_abrev,state_full
"Cohutta city, Georgia",Cohutta,city,GA,Georgia
"Colbert city, Georgia",Colbert,city,GA,Georgia
"College Park city, Georgia",College Park,city,GA,Georgia
"Collins city, Georgia",Collins,city,GA,Georgia
"Colquitt city, Georgia",Colquitt,city,GA,Georgia
"Columbus city, Georgia",Columbus,city,GA,Georgia
"Comer city, Georgia",Comer,city,GA,Georgia
"Commerce city, Georgia",Commerce,city,GA,Georgia
"Concord city, Georgia",Concord,city,GA,Georgia
"Conyers city, Georgia",Conyers,city,GA,Georgia
"Coolidge city, Georgia",Coolidge,city,GA,Georgia
"Cordele city, Georgia",Cordele,city,GA,Georgia
"Cornelia city, Georgia",Cornelia,city,GA,Georgia
"Covington city, Georgia",Covington,city,GA,Georgia
"Crawford city, Georgia",Crawford,city,GA,Georgia
"Crawfordville city, Georgia",Crawfordville,city,GA,Georgia
"Culloden city, Georgia",Culloden,city,GA,Georgia
"Cumming city, Georgia",Cumming,city,GA,Georgia
"Cusseta-Chattahoochee County unified government, Georgia",Cusseta-Chattahoochee County,county,GA,Georgia
"Cuthbert city, Georgia",Cuthbert,city,GA,Georgia
"Dacula city, Georgia",Dacula,city,GA,Georgia
"Dahlonega city, Georgia",Dahlonega,city,GA,Georgia
"Daisy city, Georgia",Daisy,city,GA,Georgia
"Dallas city, Georgia",Dallas,city,GA,Georgia
"Dalton city, Georgia",Dalton,city,GA,Georgia
"Damascus city, Georgia",Damascus,city,GA,Georgia
"Danielsville city, Georgia",Danielsville,city,GA,Georgia
"Danville town, Georgia",Danville,town,GA,Georgia
"Darien city, Georgia",Darien,city,GA,Georgia
"Dasher town, Georgia",Dasher,town,GA,Georgia
"Davisboro city, Georgia",Davisboro,city,GA,Georgia
"Dawson city, Georgia",Dawson,city,GA,Georgia
"Dawsonville city, Georgia",Dawsonville,city,GA,Georgia
"Dearing town, Georgia",Dearing,town,GA,Georgia
"Decatur city, Georgia",Decatur,city,GA,Georgia
"Deepstep town, Georgia",Deepstep,town,GA,Georgia
"Demorest city, Georgia",Demorest,city,GA,Georgia
"Denton city, Georgia",Denton,city,GA,Georgia
"De Soto city, Georgia",De Soto,city,GA,Georgia
"Dexter town, Georgia",Dexter,town,GA,Georgia
"Dillard city, Georgia",Dillard,city,GA,Georgia
"Doerun city, Georgia",Doerun,city,GA,Georgia
"Donalsonville city, Georgia",Donalsonville,city,GA,Georgia
"Dooling town, Georgia",Dooling,town,GA,Georgia
"Doraville city, Georgia",Doraville,city,GA,Georgia
"Douglas city, Georgia",Douglas,city,GA,Georgia
"Douglasville city, Georgia",Douglasville,city,GA,Georgia
"Dublin city, Georgia",Dublin,city,GA,Georgia
"Dudley city, Georgia",Dudley,city,GA,Georgia
"Duluth city, Georgia",Duluth,city,GA,Georgia
"Dunwoody city, Georgia",Dunwoody,city,GA,Georgia
"Du Pont town, Georgia",Du Pont,town,GA,Georgia
"East Dublin city, Georgia",East Dublin,city,GA,Georgia
