city_state,name,m_type,state_abrev,state_full
"Twin City city, Georgia",Twin City,city,GA,Georgia
"Tybee Island city, Georgia",Tybee Island,city,GA,Georgia
"Tyrone town, Georgia",Tyrone,town,GA,Georgia
"Ty Ty city, Georgia",Ty Ty,city,GA,Georgia
"Unadilla city, Georgia",Unadilla,city,GA,Georgia
"Union City city, Georgia",Union City,city,GA,Georgia
"Union Point city, Georgia",Union Point,city,GA,Georgia
"Uvalda city, Georgia",Uvalda,city,GA,Georgia
"Valdosta city, Georgia",Valdosta,city,GA,Georgia
"Varnell city, Georgia",Varnell,city,GA,Georgia
"Vernonburg town, Georgia",Vernonburg,town,GA,Georgia
"Vidalia city, Georgia",Vidalia,city,GA,Georgia
"Vidette city, Georgia",Vidette,city,GA,Georgia
"Vienna city, Georgia",Vienna,city,GA,Georgia
"Villa Rica city, Georgia",Villa Rica,city,GA,Georgia
"Waco city, Georgia",Waco,city,GA,Georgia
"Wadley city, Georgia",Wadley,city,GA,Georgia
"Waleska city, Georgia",Waleska,city,GA,Georgia
"Walnut Grove city, Georgia",Walnut Grove,city,GA,Georgia
"Walthourville city, Georgia",Walthourville,city,GA,Georgia
"Warm Springs city, Georgia",Warm Springs,city,GA,Georgia
"Warner Robins city, Georgia",Warner Robins,city,GA,Georgia
"Warrenton city, Georgia",Warrenton,city,GA,Georgia
"Warwick city, Georgia",Warwick,city,GA,Georgia
"Washington city, Georgia",Washington,city,GA,Georgia
"Watkinsville city, Georgia",Watkinsville,city,GA,Georgia
"Waverly Hall town, Georgia",Waverly Hall,town,GA,Georgia
"Waycross city, Georgia",Waycross,city,GA,Georgia
"Waynesboro city, Georgia",Waynesboro,city,GA,Georgia
"Webster County unified government, Georgia",Webster County,county,GA,Georgia
"West Point city, Georgia",West Point,city,GA,Georgia
"Whigham city, Georgia",Whigham,city,GA,Georgia
"White city, Georgia",White,city,GA,Georgia
"White Plains city, Georgia",White Plains,city,GA,Georgia
"Whitesburg city, Georgia",Whitesburg,city,GA,Georgia
"Willacoochee city, Georgia",Willacoochee,city,GA,Georgia
"Williamson city, Georgia",Williamson,city,GA,Georgia
"Winder city, Georgia",Winder,city,GA,Georgia
"Winterville city, Georgia",Winterville,city,GA,Georgia
"Woodbine city, Georgia",Woodbine,city,GA,Georgia
"Woodbury city, Georgia",Woodbury,city,GA,Georgia
"Woodland city, Georgia",Woodland,city,GA,Georgia
"Woodstock city, Georgia",Woodstock,city,GA,Georgia
"Woodville city, Georgia",Woodville,city,GA,Georgia
"Woolsey town, Georgia",Woolsey,town,GA,Georgia
"Wrens city, Georgia",Wrens,city,GA,Georgia
"Wrightsville city, Georgia",Wrightsville,city,GA,Georgia
"Yatesville town, Georgia",Yatesville,town,GA,Georgia
"Young Harris city, Georgia",Young Harris,city,GA,Georgia
"Zebulon city, Georgia",Zebulon,city,GA,Georgia
