,county,allstate,statefarm,country,farm_bureau,nationwide,alfa,american_family,aflac,acceptance,cotton_states,all_companies
104,Murray County,0,0,0,0,1,0,0,0,0,0,2
105,Muscogee County,1,4,0,0,1,0,0,5,1,0,33
106,Newton County,2,1,0,1,0,0,0,0,0,0,10
107,Oconee County,0,1,0,0,0,0,1,1,0,0,12
108,Oglethorpe County,0,0,0,0,0,0,0,0,0,0,0
109,Paulding County,0,0,0,0,0,0,0,0,0,0,1
110,Peach County,0,0,0,0,0,0,0,0,0,0,7
111,Pickens County,1,0,1,0,0,1,0,0,0,0,10
112,Pierce County,0,0,0,1,0,0,0,1,0,0,9
113,Pike County,0,1,0,1,0,0,0,0,0,0,3
114,Polk County,0,2,0,0,0,1,0,0,0,0,9
115,Pulaski County,1,2,0,1,0,0,0,0,0,0,7
116,Putnam County,0,1,1,0,0,0,0,1,0,0,6
117,Quitman County,0,0,0,1,0,0,0,0,0,0,1
118,Rabun County,1,0,0,1,0,0,0,0,0,0,8
119,Randolph County,0,0,0,0,0,0,0,0,0,0,4
120,Richmond County,6,0,0,1,3,0,0,1,0,0,22
121,Rockdale County,3,1,0,1,0,0,1,0,0,0,11
122,Schley County,0,0,0,1,0,0,0,0,0,0,1
123,Screven County,0,1,0,1,0,0,0,0,0,0,6
124,Seminole County,0,2,0,1,0,0,0,0,0,0,5
125,Spalding County,1,2,0,0,0,0,0,1,1,1,13
126,Stephens County,1,0,0,1,2,0,0,0,0,0,15
127,Stewart County,0,0,0,0,0,0,0,0,0,0,2
128,Sumter County,1,3,0,1,0,0,0,0,0,0,13
129,Talbot County,0,0,0,1,0,0,0,0,0,0,1
130,Taliaferro County,0,0,0,0,0,0,0,0,0,0,0
131,Tattnall County,1,0,0,1,0,0,0,0,0,0,6
132,Taylor County,1,1,0,0,0,0,0,0,0,0,2
133,Telfair County,1,1,0,1,0,0,0,0,0,0,6
134,Terrell County,1,1,0,1,0,0,0,0,0,0,6
135,Thomas County,0,2,1,1,0,0,0,0,1,0,22
136,Tift County,2,3,1,2,2,1,0,0,0,1,22
137,Toombs County,1,2,1,0,1,0,0,0,0,0,20
138,Towns County,0,1,0,0,0,0,0,0,0,0,6
139,Treutlen County,0,1,0,1,0,0,0,0,0,0,2
140,Troup County,3,4,1,0,0,1,0,1,1,0,26
141,Turner County,0,2,0,0,0,0,0,0,0,0,3
142,Twiggs County,0,0,0,1,0,0,0,0,0,0,3
143,Union County,0,1,0,0,1,1,0,0,0,1,6
144,Upson County,1,3,0,0,0,0,0,0,0,0,8
145,Walker County,0,1,0,0,0,0,0,0,0,0,5
146,Walton County,0,1,0,0,0,0,0,0,0,0,7
147,Ware County,1,2,3,1,1,0,0,0,1,0,21
148,Warren County,0,0,0,0,0,0,0,1,0,0,4
149,Washington County,0,1,1,1,1,0,0,0,0,0,13
150,Wayne County,1,1,1,1,0,0,0,1,0,0,13
151,Webster County,0,0,0,0,0,0,0,0,0,0,0
152,Wheeler County,0,0,0,1,0,0,0,0,0,0,2
153,White County,1,0,0,0,0,0,0,1,0,0,8
154,Whitfield County,0,3,0,0,1,0,0,4,0,0,14
155,Wilcox County,0,0,0,0,0,0,0,0,0,0,2
156,Wilkes County,0,1,1,0,0,0,0,0,0,1,8
157,Wilkinson County,0,1,0,0,0,0,0,0,0,0,2
158,Worth County,0,0,0,0,0,0,0,0,0,0,4
